name,country,mouse,dpi,sens
NagZet,Chile,Logitech G Pro X Superlight Magenta,400,0.58
Xdll,Japan,Logitech G Pro X Superlight Black,800,0.285
trent,United States,FinalMouse Starlight Pro,1600,0.125
BCJ,United States,Glorious Model D- Wireless White,800,0.37
russ,Turkey,VAXEE OUTSET AX Glossy,800,0.48
foxz,Thailand,Pulsar X2,800,0.485
pyth,Sweden,ZOWIE EC2-CW,400,2.6
Cryocells,United States,Logitech G Pro X Superlight Magenta,800,0.3
nzr,Argentina,Logitech G Pro X Superlight Black,800,0.45
Kalios,South Korea,Logitech G Pro X Superlight Black,800,0.617
Ado,South Korea,Logitech G Pro X Superlight Black,800,0.617
KaronPe,South Korea,Razer Deathadder V3 Pro Black,800,1.2
SELLTER,Russia,Logitech G Pro X Superlight Black,400,1.337
Swisher,United States,Logitech G Pro X Superlight White,400,2.1
alex666,Ukraine,Logitech G Pro X Superlight Black,400,1.7
Crazyface,Taiwan,ASUS ROG Harpe Ace,800,0.4
MaiL09,Sweden,Xtrfy M8 Black,800,0.7
tex,United States,ZOWIE S2-C,800,0.3
JonahP,Canada,Razer Viper V2 Pro Black,400,0.5
psalm,United States,Logitech G Pro X Superlight Black,800,0.34
neT,United States,Razer Viper V2 Pro Black,400,0.44
Demon1,United States,G-Wolves Hati S+ 4K,1600,0.1
Boostio,United States,ZOWIE EC3-C,800,0.27
Ethan,United States,Xtrfy M4 Wireless,400,0.6
mazin,Brazil,Logitech G Pro X Superlight Black,800,0.35
dgzin,Brazil,ZOWIE ZA12-C,400,0.25
valyn,United States,Logitech G Pro X Superlight Black,1600,0.15
ren,Norway,Logitech G Pro X Superlight Black,800,0.65
rain,Norway,Logitech G Pro X Superlight Red,400,1.65
qck,Brazil,Razer Deathadder V3 Pro Black,800,0.22
Khalil,Brazil,ZOWIE EC3-CW,800,0.27
broky,Latvia,Logitech G Pro X Superlight Red,400,1.9
karrigan,Denmark,Razer Deathadder V3 Pro Black,400,1.4
Artfr0st,Russia,Logitech G Pro X Superlight Black,800,1.545
Monyet,Indonesia,ZOWIE S2-C,800,0.32
Pxlarized,United States,Logitech G Pro X Superlight Black,1600,0.323
