name,country,mouse,dpi,sens
HexT,Canada,Razer Deathadder V3 Pro White,400,1.4
wiz,United States,Logitech G Pro X Superlight Black,800,1.2
junior,United States,Razer Deathadder V3 Pro White,400,3.1
speed4k,Russia,Logitech G Pro X Superlight Black,400,2.0
REDSTAR,Bulgaria,VAXEE ZYGEN NP-01S Glossy,400,2.0
v1c7oR,Bulgaria,Logitech G Pro X Superlight Black,800,0.64
meyern,Argentina,Logitech G Pro X Superlight Red,400,2.5
allu,Finland,Logitech G Pro X Superlight Black,400,3.0
Brehze,United States,ZOWIE EC2-C,400,3.0
h4rn,Bulgaria,VAXEE ZYGEN NP-01,400,2.05
vanity,United States,ZOWIE EC2-CW,1600,0.141
Moose,Canada,Razer Deathadder V3 Pro White,800,0.33
JDC,Germany,Logitech G Pro X Superlight Red,400,2.1
Eaddy,Thailand,Logitech G Pro Wireless,800,0.617
Noardra,Thailand,FinalMouse Starlight-12,800,0.617
LongSkr,China,ZOWIE FK1-B,400,1.714
Striker,South Korea,Logitech G Pro X Superlight Black,800,0.617
stanislaw,Canada,Razer Viper Ultimate,400,2.5
Nifty,United States,Logitech G Pro X Superlight Black,400,2.2
malta,Australia,ZOWIE EC2-B Divina Pink,400,2.0
tenzki,Denmark,Razer Deathadder V3 Pro Black,400,1.8
ZOREE,Finland,Zowie S1 Divina Pink,400,2.0
Maniac,Switzerland,Logitech G Pro X Superlight Black,800,1.05
sLowi,Finland,VAXEE OUTSET AX,400,3.2
