name,country,mouse,dpi,sens
Kvem,Ukraine,Logitech G Pro X Superlight Magenta,400,3
neaLaN,Kazakhstan,Razer Deathadder V3 Pro White,400,2.00
Luke12,Australia,Logitech G Pro X Superlight Black,1600,
aLOW,United States,ZOWIE EC1-B,400,
v1c,United States,Logitech G Pro X Superlight White,800,0.196
Kickstart,United States,ZOWIE FK1-C,800,
adreN,United States,Logitech G Pro Wireless,400,2.25
DD,China,ZOWIE S2 Divina Pink,400,2.40
Sharpshot,Cuba,Logitech G Pro X Superlight Black,800,
fox,Portugal,VAXEE XE Wireless Blue,400,4.70
maty,Lithuania,ZOWIE EC2-B Divina Pink,400,1.7
leo_drk,Brazil,Pulsar Xlite Wireless,400,1.40
Nodios,Denmark,ZOWIE EC1-A,400,1.51
autimatic,United States,"Logitech G Pro X Superlight White,Logitech G Pro X Superlight White","400,400","2.024,0.707"
Braexco,Germany,Logitech G Pro X Superlight Black,800,
DUCKMANZ,Thailand,ZOWIE FK2,400,
RUSH,United States,Logitech G Pro X Superlight Black,400,2.4
Nourinz,Thailand,FinalMouse Starlight-12,400,
Conaxy,Thailand,Logitech G203,400,
Jeorge,United States,Logitech G Pro X Superlight Black,800,1.55
refrezh,Denmark,Logitech G Pro X Superlight Black,400,1.90
HexT,Canada,Razer Deathadder V3 Pro White,400,1.4
wiz,United States,Logitech G Pro X Superlight Black,800,1.2
junior,United States,Razer Deathadder V3 Pro White,400,3.1
speed4k,Russia,Logitech G Pro X Superlight Black,400,2.00
REDSTAR,Bulgaria,VAXEE ZYGEN NP-01S Glossy,400,2.00
v1c7oR,Bulgaria,Logitech G Pro X Superlight Black,800,0.64
meyern,Argentina,Logitech G Pro X Superlight Red,400,2.50
allu,Finland,Logitech G Pro X Superlight Black,400,3.00
Brehze,United States,ZOWIE EC2-C,400,3
h4rn,Bulgaria,VAXEE ZYGEN NP-01,400,2.05
vanity,United States,"ZOWIE EC2-CW,ZOWIE EC2-CW","1600,800","0.141,1.05"
Moose,Canada,"Razer Deathadder V3 Pro White,Razer Deathadder V3 Pro White","800,400","0.33,1.9"
JDC,Germany,Logitech G Pro X Superlight Red,400,2.10
Eaddy,Thailand,Logitech G Pro Wireless,800,
Noardra,Thailand,FinalMouse Starlight-12,800,
LongSkr,China,ZOWIE FK1-B,400,
Striker,South Korea,Logitech G Pro X Superlight Black,800,
stanislaw,Canada,Razer Viper Ultimate,400,2.50
Nifty,United States,Logitech G Pro X Superlight Black,400,2.20
malta,Australia,ZOWIE EC2-B Divina Pink,400,2.00
tenzki,Denmark,Razer Deathadder V3 Pro Black,400,1.80
ZOREE,Finland,Zowie S1 Divina Pink,400,2.00
Maniac,Switzerland,Logitech G Pro X Superlight Black,800,1.05
sLowi,Finland,VAXEE OUTSET AX,400,3.20
